Customer ID,Gender,Age,Dependents,Population,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Churn
8779-QRDMV,Male,78,No,68701,1,No,0,Yes,DSL,8,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,39.65,39.65,Yes
7495-OOKFY,Female,74,Yes,55668,8,Yes,48.85,Yes,Fiber Optic,17,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,80.65,633.3,Yes
1658-BYGOY,Male,71,Yes,47534,18,Yes,11.33,Yes,Fiber Optic,52,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,1752.55,Yes
4598-XLKNJ,Female,78,Yes,27778,25,Yes,19.76,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.5,2514.5,Yes
4846-WHAFZ,Female,80,Yes,26265,37,Yes,6.33,Yes,Fiber Optic,14,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.5,2868.15,Yes
4412-YLTKF,Female,72,Yes,63288,27,Yes,3.33,Yes,Fiber Optic,18,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,78.05,2135.5,Yes
0390-DCFDQ,Female,76,Yes,21343,1,Yes,15.28,Yes,Fiber Optic,30,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,70.45,70.45,Yes
3445-HXXGF,Male,66,No,10558,58,No,0,Yes,DSL,24,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,45.3,2651.2,Yes
2656-FMOKZ,Female,70,Yes,23742,15,Yes,44.07,Yes,Fiber Optic,19,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,74.45,1145.7,Yes
2070-FNEXE,Female,77,Yes,32369,7,Yes,26.95,Yes,Fiber Optic,18,Yes,No,No,No,No,Month-to-Month,No,Bank Withdrawal,76.45,503.6,Yes
0094-OIFMO,Female,78,Yes,57146,11,Yes,11.59,Yes,Fiber Optic,29,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120.3,Yes
9947-OTFQU,Male,65,No,33817,15,Yes,29.11,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,1074.3,Yes
9514-JDSKI,Male,77,No,62660,1,No,0,Yes,DSL,12,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40.2,40.2,Yes
